run,round,val_accuracy,val_loss,virtual_time,wall_time,participation
train,0,0.01510000042617321,4.597598552703857,13.614865646785614,2.4481683000922203,59
train,1,0.017400000244379044,4.583355903625488,27.229731293571227,4.255737100029364,41
train,2,0.018400000408291817,4.568373203277588,40.84459694035684,6.621476100059226,61
train,3,0.02160000056028366,4.551023483276367,54.459462587142454,9.140642300248146,66
train,4,0.02319999970495701,4.529903888702393,68.07432823392807,10.890768500277773,41
train,5,0.027899999171495438,4.506753921508789,81.68919388071369,12.979902100283653,54
train,6,0.034299999475479126,4.4785475730896,95.3040595274993,15.227372800232843,57
train,7,0.04270000010728836,4.44598913192749,108.91892517428492,17.683972800383344,64
train,8,0.05299999937415123,4.4057841300964355,122.53379082107054,20.189766800496727,67
train,9,0.057999998331069946,4.360637664794922,136.14865646785614,22.45569180045277,59
train,10,0.06390000134706497,4.315708637237549,149.76352211464175,24.98772430047393,68
train,11,0.06679999828338623,4.277382850646973,163.37838776142735,26.990298200631514,49
train,12,0.07800000160932541,4.235562324523926,176.99325340821295,29.630428900709376,63
train,13,0.08449999988079071,4.196354866027832,190.60811905499855,31.80438690073788,56
train,14,0.08470000326633453,4.1717329025268555,204.22298470178416,33.83703470067121,40
train,15,0.0966000035405159,4.133632659912109,217.83785034856976,36.348564800806344,51
train,16,0.0908999964594841,4.111514568328857,231.45271599535536,38.30594170070253,44
train,17,0.09730000048875809,4.085921287536621,245.06758164214096,40.384864900726825,52
train,18,0.10360000282526016,4.065717697143555,258.6824472889266,42.8512347007636,65
train,19,0.10409999638795853,4.046541213989258,272.2973129357122,44.96217270079069,53
train,20,0.10459999740123749,4.0300726890563965,285.91217858249786,46.79571110079996,41
train,21,0.11150000244379044,4.008552551269531,299.5270442292835,49.06516110058874,53
train,22,0.11550000309944153,3.9933629035949707,313.1419098760691,51.58691500057466,60
train,23,0.11259999871253967,3.9697518348693848,326.75677552285475,54.02377450047061,58
train,24,0.11680000275373459,3.958219528198242,340.3716411696404,56.46327730035409,59
train,25,0.11729999631643295,3.9464850425720215,353.986506816426,58.84263370023109,55
train,26,0.1242000013589859,3.9319558143615723,367.60137246321165,61.10421700007282,55
train,27,0.12880000472068787,3.9161441326141357,381.2162381099973,63.067569999955595,45
train,28,0.13429999351501465,3.90053129196167,394.8311037567829,65.38075729995035,61
train,29,0.13169999420642853,3.8897719383239746,408.44596940356854,67.11917960015126,51
train,30,0.13179999589920044,3.8761796951293945,422.06083505035417,68.7752769999206,48
train,31,0.1356000006198883,3.862783908843994,435.6757006971398,70.88634019996971,63
train,32,0.13539999723434448,3.846649169921875,449.29056634392543,73.19494909979403,61
train,33,0.1412999927997589,3.83884334564209,462.90543199071107,75.63170159980655,63
train,34,0.13910000026226044,3.8309874534606934,476.5202976374967,77.75004699989222,53
train,35,0.14149999618530273,3.8203797340393066,490.1351632842823,79.96041280007921,55
train,36,0.1469999998807907,3.8066961765289307,503.75002893106796,82.38873180001974,59
train,37,0.1454000025987625,3.796992301940918,517.3648945778535,84.7175429998897,58
train,38,0.14630000293254852,3.787834882736206,530.9797602246391,86.95357519993559,56
train,39,0.15109999477863312,3.776676893234253,544.5946258714247,88.84585259994492,43
train,40,0.14820000529289246,3.7691893577575684,558.2094915182103,90.74847519979812,44
train,41,0.15629999339580536,3.7587413787841797,571.8243571649958,93.2125427997671,63
train,42,0.15569999814033508,3.7446446418762207,585.4392228117814,95.64733529975638,62
train,43,0.15610000491142273,3.738246202468872,599.054088458567,97.78702109958977,51
train,44,0.15770000219345093,3.725403070449829,612.6689541053526,100.2391374995932,60
train,45,0.15780000388622284,3.7182164192199707,626.2838197521381,102.46166709950194,54
train,46,0.16380000114440918,3.717617988586426,639.8986853989237,104.73985129944049,55
train,47,0.16120000183582306,3.6982641220092773,653.5135510457093,106.88860219949856,51
train,48,0.16060000658035278,3.696054697036743,667.1284166924949,108.61351429950446,36
train,49,0.16459999978542328,3.686084747314453,680.7432823392804,111.47530009946786,64
train,50,0.16500000655651093,3.6744563579559326,694.358147986066,114.3071534994524,54
train,51,0.17260000109672546,3.669555187225342,707.9730136328516,117.19575859955512,66
train,52,0.1712000072002411,3.657874584197998,721.5878792796371,119.57666869950481,56
train,53,0.17190000414848328,3.648256301879883,735.2027449264227,121.48626279947348,49
train,54,0.1753000020980835,3.6410961151123047,748.8176105732083,123.56606009951793,57
train,55,0.1670999974012375,3.6384012699127197,762.4324762199939,125.42628219956532,48
train,56,0.1738000065088272,3.6212351322174072,776.0473418667794,127.81295789941214,67
train,57,0.17499999701976776,3.616546392440796,789.662207513565,129.93441469944082,56
train,58,0.1768999993801117,3.6077167987823486,803.2770731603506,132.02978959935717,57
train,59,0.18440000712871552,3.6002109050750732,816.8919388071362,134.38228619936854,62
train,60,0.18219999969005585,3.591829299926758,830.5068044539217,136.1119700993877,40
train,61,0.18230000138282776,3.5859375,844.1216701007073,138.2160159992054,50
train,62,0.1873999983072281,3.577091693878174,857.7365357474929,140.50694129941985,56
train,63,0.18410000205039978,3.5723085403442383,871.3514013942785,142.44058659952134,49
train,64,0.18700000643730164,3.565587043762207,884.966267041064,144.5360599993728,56
train,65,0.18960000574588776,3.5518980026245117,898.5811326878496,146.73227069946006,60
train,66,0.18979999423027039,3.542963981628418,912.1959983346352,148.83327959943563,56
train,67,0.19200000166893005,3.53955078125,925.8108639814208,151.08964699949138,63
train,68,0.1949000060558319,3.5348894596099854,939.4257296282063,153.00576349929906,49
train,69,0.19539999961853027,3.5208652019500732,953.0405952749919,155.28696199925616,61
train,70,0.19660000503063202,3.5173401832580566,966.6554609217775,157.70058169937693,66
train,71,0.19830000400543213,3.509949207305908,980.2703265685631,160.01533489930443,64
train,72,0.19509999454021454,3.5051684379577637,993.8851922153486,162.20148519938812,60
train,73,0.1965000033378601,3.4965476989746094,1007.5000578621342,164.3323596995324,58
train,74,0.19949999451637268,3.487175703048706,1021.1149235089198,166.20607939944603,49
train,75,0.19910000264644623,3.482253074645996,1034.7297891557055,168.2293847994879,54
train,76,0.2012999951839447,3.4757449626922607,1048.344654802491,170.63743789936416,69
train,77,0.20270000398159027,3.4711239337921143,1061.9595204492766,172.69543799944222,55
train,78,0.20270000398159027,3.4628710746765137,1075.5743860960622,174.9002915993333,60
train,79,0.2079000025987625,3.4524757862091064,1089.1892517428478,177.07611269922927,59
