defense,m_min,L0,L1,L2,L3
undefended,1,0.26965699208443267,0.7034300791556728,0.678627968337731,0.9715039577836412
mid,110,0.12612612612612606,0.4483306836248012,0.45363010068892407,0.6756756756756757
strong,115,0.21354451119606774,0.29710540688148557,0.29219006007646103,0.4156198798470781
