point,m_min,L0_mean,L0_ci_half,L1_mean,L1_ci_half,L2_mean,L2_ci_half,L3_mean,L3_ci_half
undefended,1,0.5293153505130006,0.1818065385246811,0.73550392499556,0.039546680378612864,0.7022734502479844,0.04868886548005069,0.9825813386737938,0.015998147789134776
mid,50,0.49243659104646686,0.18341837617670698,0.7206576222236242,0.052008424154660005,0.6986865055877312,0.0595317959400935,0.9790144863702622,0.01611036000979371
strong,55,0.4478658156813797,0.1186322171564396,0.7143035007752637,0.0514485414182303,0.6891811714421575,0.0560697049061436,0.9763905770973549,0.01728581820949293
