m_min,round,val_accuracy,round_time,participation
1,0,0.12860000133514404,399.9865418873601,326
1,1,0.1589999943971634,788.4941742398096,327
1,2,0.17419999837875366,1184.1108695287846,313
1,3,0.22589999437332153,1581.2396449437983,304
1,4,0.23510000109672546,1968.1205817929795,331
1,5,0.2671999931335449,2367.0076239691593,310
1,6,0.2450999915599823,2762.416508819468,335
1,7,0.27959999442100525,3151.089085462469,319
1,8,0.271699994802475,3535.6430587289096,323
1,9,0.26569998264312744,3919.112929520892,303
1,10,0.29490000009536743,4318.599809253443,340
1,11,0.29249998927116394,4709.148169728605,324
1,12,0.3034999966621399,5106.651261306098,298
1,13,0.3138999938964844,5498.338587451812,327
1,14,0.3093000054359436,5881.881575471078,331
1,15,0.32089999318122864,6280.6750293735195,341
1,16,0.32170000672340393,6674.567151429203,369
1,17,0.3220999836921692,7069.750554447065,309
1,18,0.33249998092651367,7464.630716565934,330
1,19,0.32839998602867126,7863.532395069912,307
1,20,0.32899999618530273,8257.220233525475,303
1,21,0.32580000162124634,8657.033534922117,337
1,22,0.33649998903274536,9050.070863042498,324
1,23,0.35019999742507935,9448.952057893177,291
1,24,0.34579998254776,9843.049935982319,320
1,25,0.33899998664855957,10224.748351581084,307
1,26,0.35989999771118164,10623.9211809335,343
1,27,0.3561999797821045,11021.934827058043,323
1,28,0.34119999408721924,11417.07111754169,346
1,29,0.3603000044822693,11816.106211938202,335
1,30,0.3709999918937683,12215.173978351064,296
1,31,0.3693999946117401,12604.687817549775,313
1,32,0.36890000104904175,13001.069805882305,322
1,33,0.3709000051021576,13400.541738010557,318
1,34,0.3765999972820282,13794.310409886313,345
1,35,0.3675999939441681,14190.658875288796,313
1,36,0.37449997663497925,14589.066391621913,318
1,37,0.3773999810218811,14978.981531879279,307
1,38,0.37299999594688416,15369.84060373719,298
1,39,0.3946000039577484,15753.231720917933,326
1,40,0.3644999861717224,16146.053633547685,295
1,41,0.3911999762058258,16535.307702536516,303
1,42,0.39259999990463257,16934.309143690705,327
1,43,0.38179999589920044,17329.827211913947,310
1,44,0.40059998631477356,17727.86446929055,338
1,45,0.3831999897956848,18124.439501401954,324
1,46,0.39139997959136963,18504.61611259814,320
1,47,0.40939998626708984,18897.51098153966,329
1,48,0.4023999869823456,19297.401532409644,341
1,49,0.39569997787475586,19696.332978340804,337
1,50,0.4129999876022339,20093.87068523143,299
1,51,0.4115999937057495,20493.099131860643,332
1,52,0.4136999845504761,20888.064515786973,318
1,53,0.41429999470710754,21287.262088530693,339
1,54,0.4161999821662903,21670.24679208152,335
1,55,0.41839998960494995,22061.84368714596,310
1,56,0.4244999885559082,22461.170012798164,326
1,57,0.4065999984741211,22860.08337305682,303
1,58,0.41029998660087585,23255.675713650908,319
1,59,0.42409998178482056,23653.349866856963,349
1,60,0.42569997906684875,24049.135335620846,331
1,61,0.43379998207092285,24437.626326800477,292
1,62,0.4325999915599823,24830.486813885396,329
1,63,0.42579999566078186,25228.445054689597,320
1,64,0.4359999895095825,25627.882424773066,336
1,65,0.4382999837398529,26023.560302792943,313
1,66,0.4300999939441681,26422.8999133686,303
1,67,0.43219998478889465,26822.412398736782,330
1,68,0.44039997458457947,27220.650796656915,352
1,69,0.4306999742984772,27618.646391880477,318
1,70,0.4440999925136566,28018.539140043747,325
1,71,0.43289998173713684,28417.457797817417,312
1,72,0.4351999759674072,28815.606165466597,350
1,73,0.4510999917984009,29214.765376997395,330
1,74,0.44020000100135803,29613.817719004783,314
1,75,0.4424999952316284,29998.42617621358,320
1,76,0.44999998807907104,30396.25366106436,311
1,77,0.4546999931335449,30794.39325948516,346
1,78,0.4470999836921692,31181.555701078025,333
1,79,0.45719999074935913,31580.49191872954,329
1,80,0.460099995136261,31962.711974695925,341
1,81,0.4488999843597412,32357.13863698987,312
1,82,0.45829999446868896,32752.2704870551,296
1,83,0.4551999866962433,33143.827012607806,292
1,84,0.4610999822616577,33542.42606220178,329
1,85,0.45799997448921204,33939.86120453306,352
1,86,0.45080000162124634,34334.48223480129,344
1,87,0.46219998598098755,34734.14813852329,304
1,88,0.460099995136261,35124.91772713295,324
1,89,0.46559998393058777,35521.789675644985,296
1,90,0.46459999680519104,35919.1457408918,301
1,91,0.46859997510910034,36318.09749375107,328
1,92,0.4682999849319458,36717.23082110248,305
1,93,0.46230000257492065,37114.940201285564,330
1,94,0.46949997544288635,37509.68207206676,332
1,95,0.46539998054504395,37903.88001692567,325
1,96,0.4642999768257141,38301.5180308292,312
1,97,0.4691999852657318,38696.77175458573,321
1,98,0.46480000019073486,39093.637906960226,320
1,99,0.4675000011920929,39483.533231524045,301
40,0,0.1379999965429306,399.9865418873601,289
40,1,0.1639000028371811,788.4941742398096,319
40,2,0.17270000278949738,1184.1108695287846,288
40,3,0.22579999268054962,1581.2396449437983,268
40,4,0.23519998788833618,1968.1205817929795,287
40,5,0.26489999890327454,2367.0076239691593,255
40,6,0.2368999868631363,2762.416508819468,290
40,7,0.27459999918937683,3151.089085462469,264
40,8,0.2676999866962433,3535.6430587289096,297
40,9,0.2549000084400177,3919.112929520892,228
40,10,0.2928999960422516,4318.599809253443,302
40,11,0.29569998383522034,4709.148169728605,288
40,12,0.30640000104904175,5106.651261306098,238
40,13,0.31610000133514404,5498.338587451812,266
40,14,0.30799999833106995,5881.881575471078,300
40,15,0.31859999895095825,6280.6750293735195,303
40,16,0.3181999921798706,6674.567151429203,333
40,17,0.32889997959136963,7069.750554447065,238
40,18,0.3285999894142151,7464.630716565934,264
40,19,0.32979997992515564,7863.532395069912,244
40,20,0.33469998836517334,8257.220233525475,274
40,21,0.32979997992515564,8657.033534922117,304
