horizon,uniq_mean,uniq_ci_half,meanL_mean,meanL_ci_half
5,0.08792383306889703,0.008583320022341676,0.16130774196367814,0.009788864381841317
10,0.49071796962862085,0.019436773256225753,0.581576827709714,0.02047426365582261
20,0.9111302804986922,0.02145813368637295,0.9363499588406899,0.01520953822371185
40,0.9951943905612739,0.004632597267707372,0.9963955481947429,0.004170782052767663
