config,round,val_accuracy,val_loss,virtual_time,wall_time,round_time,participation
fedavg,0,0.1371999979019165,2.281057596206665,4385.853657063988,1.3027931936085224,1664.1268349949548,348
fedavg,1,0.1876000016927719,2.2644102573394775,8771.707314127976,2.2032129438593984,3356.5162973453234,364
fedavg,2,0.19339999556541443,2.250236749649048,13157.560971191964,3.0259011518210173,4226.740394038971,328
fedavg,3,0.234499990940094,2.232893228530884,17543.414628255952,3.8687670454382896,5758.682070427183,333
fedavg,4,0.23469999432563782,2.21268630027771,21929.26828531994,4.701503622345626,6354.062682627445,332
fedavg,5,0.26319998502731323,2.18966007232666,26315.12194238393,5.613543012179434,7116.9570377140835,353
fedavg,6,0.25529998540878296,2.1716861724853516,30700.975599447916,6.487528650090098,11373.763036981043,349
fedavg,7,0.2766000032424927,2.1463143825531006,35086.829256511905,7.368121659383178,12016.461329481033,352
fedavg,8,0.27070000767707825,2.12522029876709,39472.68291357589,8.238399103283882,13991.744307246894,346
fedavg,9,0.2653000056743622,2.1014082431793213,43858.53657063987,9.0867118248716,15160.326864615838,338
fedavg,10,0.2915000021457672,2.079444646835327,48244.39022770386,10.027038632892072,18994.849980102044,371
fedavg,11,0.29260000586509705,2.0561442375183105,52630.24388476784,10.887031712569296,19554.583137442933,344
fedavg,12,0.29999998211860657,2.041240930557251,57016.09754183183,11.70205005723983,20235.549257099632,323
fedavg,13,0.31129997968673706,2.01818585395813,61401.95119889581,12.597379801794887,21367.753421003606,357
fedavg,14,0.3109000027179718,2.000006675720215,65787.8048559598,13.479702174663544,22991.178249194803,354
fedavg,15,0.31929999589920044,1.9836903810501099,70173.65851302378,14.378155449405313,23532.578486156326,359
fedavg,16,0.32249999046325684,1.9678566455841064,74559.51217008776,15.284406083635986,25067.628106443284,362
fedavg,17,0.31759998202323914,1.9540590047836304,78945.36582715175,16.173571821302176,25981.45008734011,353
fedavg,18,0.32659998536109924,1.9438749551773071,83331.21948421573,17.023976637981832,26943.52063551106,339
fedavg,19,0.3310999870300293,1.9322443008422852,87717.07314127972,17.914587353356183,30478.738207797305,357
fedavg,20,0.33069998025894165,1.9164472818374634,92102.9267983437,18.741778078489006,34516.40182762995,331
fedavg,21,0.33469998836517334,1.9051378965377808,96488.78045540769,19.663635907694697,35547.666430428224,369
fedavg,22,0.33570000529289246,1.8978241682052612,100874.63411247167,20.55998039059341,36148.63238834436,360
fedavg,23,0.35029998421669006,1.893284559249878,105260.48776953566,21.34885942656547,37548.57493029526,316
fedavg,24,0.34929999709129333,1.8765003681182861,109646.34142659964,22.19344525411725,38504.86339718566,339
fedavg,25,0.3393999934196472,1.8760443925857544,114032.19508366362,23.035311673767865,40087.989275091226,333
fedavg,26,0.357699990272522,1.862715244293213,118418.04874072761,23.971935869194567,42318.119798118416,369
fedavg,27,0.3504999876022339,1.8539488315582275,122803.9023977916,24.891055186279118,43298.90332386819,361
fedavg,28,0.3474999964237213,1.856734037399292,127189.75605485558,25.79633683990687,44182.41592646225,361
fedavg,29,0.3626999855041504,1.8469375371932983,131575.60971191956,26.7278278041631,44842.091071577095,371
fedavg,30,0.3637999892234802,1.8346511125564575,135961.46336898356,27.579046997241676,45956.659526281066,330
fedavg,31,0.3756999969482422,1.8236933946609497,140347.31702604756,28.41333033144474,47897.93950104195,330
fedavg,32,0.36739999055862427,1.8256962299346924,144733.17068311156,29.28323223348707,48728.57892312952,345
