m_min,num_tiers,bucket,advantage,accuracy,prior,class_tier_mi,mean_participation,release_rate,n_query,advantage_l2,advantage_l3,honest_set,honest_class,collusion_rate
82,5,single,0.18623024830699778,0.37085514834205935,0.2268760907504363,0.39933305189494184,194.9375,0.4274611398963731,1146,0.5114068441064639,0.8783269961977186,84.48484848484848,18.802295552367287,0.1
88,5,uniform/40,0.11702127659574471,0.32861476238624876,0.2396359959555106,0.3991260925351109,149.5,0.3233695652173913,989,0.4335863377609108,0.8074003795066413,89.75630252100841,27.15373092407078,0.1
88,5,single,0.10239361702127658,0.31749241658240646,0.2396359959555106,0.3991260925351109,149.5,0.3233695652173913,989,0.4335863377609108,0.7685009487666035,89.75630252100841,27.15373092407078,0.1
95,5,uniform/40,0.0,0.2616487455197133,0.27598566308243727,0.3933239294225117,128.3875,0.25064599483204136,837,0.3480769230769231,0.7259615384615385,94.75257731958763,33.61125013600261,0.1
95,5,single,0.0,0.25806451612903225,0.27598566308243727,0.3933239294225117,128.3875,0.25064599483204136,837,0.3384615384615385,0.6451923076923078,94.75257731958763,33.61125013600261,0.1
110,5,uniform/40,0.08557844690966719,0.3130952380952381,0.2488095238095238,0.37023746764264154,142.85,0.2493368700265252,840,0.3352657004830918,0.7420289855072464,108.82978723404256,32.12003910068426,0.1
110,5,single,0.0792393026941363,0.30833333333333335,0.2488095238095238,0.37023746764264154,142.85,0.2493368700265252,840,0.3120772946859903,0.5903381642512078,108.82978723404256,32.12003910068426,0.1
1,8,uniform/40,0.6151658767772512,0.6972408650260999,0.21327367636092467,0.4439615461694248,330.8875,1.0,1341,0.7145557655954631,0.9905482041587902,37.40944881889764,5.007072195327299,0.1
1,8,single,0.6037914691943128,0.6882923191648024,0.21327367636092467,0.4439615461694248,330.8875,1.0,1341,0.7069943289224953,0.9905482041587902,37.40944881889764,5.007072195327299,0.1
25,8,uniform/40,0.6161137440758294,0.697986577181208,0.21327367636092467,0.44242055693313354,321.3875,0.916403785488959,1341,0.732895970009372,0.9906279287722587,39.70051635111876,5.177143848088095,0.1
