m_min,round,val_accuracy,round_time,participation
1,0,0.012899999506771564,399.9865418873601,326
1,1,0.013599999248981476,788.4941742398096,327
1,2,0.017500000074505806,1184.1108695287846,313
1,3,0.01759999990463257,1581.2396449437983,304
1,4,0.018400000408291817,1968.1205817929795,331
1,5,0.01899999938905239,2367.0076239691593,310
1,6,0.017899999395012856,2762.416508819468,335
1,7,0.019700000062584877,3151.089085462469,319
1,8,0.01939999870955944,3535.6430587289096,323
1,9,0.019299998879432678,3919.112929520892,303
1,10,0.020600000396370888,4318.599809253443,340
1,11,0.021399999037384987,4709.148169728605,324
1,12,0.023499999195337296,5106.651261306098,298
1,13,0.024799998849630356,5498.338587451812,327
1,14,0.02709999866783619,5881.881575471078,331
1,15,0.02669999934732914,6280.6750293735195,341
1,16,0.027799999341368675,6674.567151429203,369
1,17,0.026599999517202377,7069.750554447065,309
1,18,0.030499998480081558,7464.630716565934,330
1,19,0.03539999946951866,7863.532395069912,307
1,20,0.037299998104572296,8257.220233525475,303
1,21,0.041600000113248825,8657.033534922117,337
1,22,0.04319999739527702,9050.070863042498,324
1,23,0.04189999774098396,9448.952057893177,291
1,24,0.042799998074769974,9843.049935982319,320
1,25,0.047599997371435165,10224.748351581084,307
1,26,0.044999998062849045,10623.9211809335,343
1,27,0.05289999768137932,11021.934827058043,323
1,28,0.050999999046325684,11417.07111754169,346
1,29,0.05639999732375145,11816.106211938202,335
1,30,0.05859999731183052,12215.173978351064,296
1,31,0.05819999799132347,12604.687817549775,313
1,32,0.06229999661445618,13001.069805882305,322
1,33,0.06149999797344208,13400.541738010557,318
1,34,0.0616999976336956,13794.310409886313,345
1,35,0.0689999982714653,14190.658875288796,313
1,36,0.0714000016450882,14589.066391621913,318
1,37,0.07119999825954437,14978.981531879279,307
1,38,0.07539999485015869,15369.84060373719,298
1,39,0.07459999620914459,15753.231720917933,326
1,40,0.07499999552965164,16146.053633547685,295
1,41,0.08009999990463257,16535.307702536516,303
1,42,0.07999999821186066,16934.309143690705,327
1,43,0.07840000092983246,17329.827211913947,310
1,44,0.08379999548196793,17727.86446929055,338
1,45,0.08240000158548355,18124.439501401954,324
1,46,0.093299999833107,18504.61611259814,320
1,47,0.09489999711513519,18897.51098153966,329
1,48,0.09459999948740005,19297.401532409644,341
1,49,0.08940000087022781,19696.332978340804,337
1,50,0.10089999437332153,20093.87068523143,299
1,51,0.10429999977350235,20493.099131860643,332
1,52,0.09779999405145645,20888.064515786973,318
1,53,0.10159999877214432,21287.262088530693,339
1,54,0.10439999401569366,21670.24679208152,335
1,55,0.10130000114440918,22061.84368714596,310
1,56,0.09910000115633011,22461.170012798164,326
1,57,0.09959999471902847,22860.08337305682,303
1,58,0.10779999941587448,23255.675713650908,319
1,59,0.10659999400377274,23653.349866856963,349
1,60,0.10399999469518661,24049.135335620846,331
1,61,0.1078999936580658,24437.626326800477,292
1,62,0.11499999463558197,24830.486813885396,329
1,63,0.11329999566078186,25228.445054689597,320
1,64,0.11050000041723251,25627.882424773066,336
1,65,0.1054999977350235,26023.560302792943,313
