run,round,val_accuracy,val_loss,virtual_time,wall_time,participation
train,0,0.1378999948501587,2.281135082244873,400.0,1.4649531235918403,345
train,1,0.17090000212192535,2.2649831771850586,800.0,2.5392915634438396,338
train,2,0.1955999881029129,2.249974250793457,1200.0,3.554586550220847,323
train,3,0.2264999896287918,2.2330896854400635,1600.0,4.464200087822974,321
train,4,0.23569999635219574,2.212689161300659,2000.0,5.398256194777787,339
train,5,0.26739999651908875,2.190868377685547,2400.0,6.316297781653702,324
train,6,0.2578999996185303,2.173992872238159,2800.0,7.29595865868032,354
train,7,0.2750000059604645,2.147820234298706,3200.0,8.234951805323362,333
train,8,0.2726999819278717,2.124189853668213,3600.0,9.163472019135952,335
train,9,0.2692999839782715,2.1021766662597656,4000.0,10.060801647603512,318
train,10,0.2928999960422516,2.0786356925964355,4400.0,11.116435804404318,357
train,11,0.2906000018119812,2.0557897090911865,4800.0,12.202644412405789,339
train,12,0.3050999939441681,2.044741153717041,5200.0,13.069801435805857,313
train,13,0.31039997935295105,2.021336078643799,5600.0,14.027857064269483,338
train,14,0.30879998207092285,2.002150058746338,6000.0,14.975243858993053,341
train,15,0.32330000400543213,1.9846668243408203,6400.0,15.977086884900928,355
train,16,0.3245999813079834,1.9706361293792725,6800.0,17.02632025256753,382
train,17,0.3188000023365021,1.9581447839736938,7200.0,17.934535426087677,329
train,18,0.33390000462532043,1.9478940963745117,7600.0,18.998742242343724,345
train,19,0.3199999928474426,1.9374375343322754,8000.0,19.89828364737332,324
train,20,0.33309999108314514,1.9189765453338623,8400.0,20.785921208560467,312
train,21,0.3367999792098999,1.9088364839553833,8800.0,21.752087842673063,350
train,22,0.33820000290870667,1.897727131843567,9200.0,22.72588414605707,344
train,23,0.35179999470710754,1.8968536853790283,9600.0,23.55948685016483,299
train,24,0.34939998388290405,1.8764492273330688,10000.0,24.592786522582173,333
train,25,0.33469998836517334,1.8781349658966064,10400.0,25.47862411197275,318
train,26,0.3588999807834625,1.863729476928711,10800.0,26.48436535242945,357
train,27,0.352400004863739,1.8519290685653687,11200.0,27.424499295651913,340
train,28,0.34939998388290405,1.8519954681396484,11600.0,28.429034628905356,355
train,29,0.36329999566078186,1.8483213186264038,12000.0,29.392241237685084,348
train,30,0.37549999356269836,1.833364486694336,12400.0,30.27723597548902,311
train,31,0.36969998478889465,1.8269349336624146,12800.0,31.173461593687534,322
train,32,0.37039998173713684,1.8259015083312988,13200.0,32.096279992721975,334
train,33,0.36629998683929443,1.8144546747207642,13600.0,33.02172806393355,320
train,34,0.3743000030517578,1.8060293197631836,14000.0,34.01986621879041,360
train,35,0.36730000376701355,1.8016480207443237,14400.0,34.94773732032627,328
train,36,0.37539997696876526,1.7982780933380127,14800.0,35.87028685491532,331
